               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11685,            0.031147,            0.027388,           0.0011316,             0.10833,          0.00069656,          0.00025443,            0.077293,            0.024002,             0.01805,              0.0964,              0.0004,              0.0004
                   1,             0.11621,            0.031326,            0.029369,           0.0013885,             0.13333,           0.0012276,          0.00032523,            0.074006,            0.022697,            0.017556,            0.091891,          0.00089109,          0.00089109
                   2,              0.1097,            0.030988,            0.026814,           0.0015668,             0.15833,           0.0026728,           0.0011752,            0.064516,            0.021707,            0.017246,            0.087372,           0.0013723,           0.0013723
                   3,             0.09131,            0.031137,            0.023993,            0.001837,             0.24167,           0.0075904,           0.0022537,            0.058914,            0.021246,            0.016918,            0.082844,           0.0018436,           0.0018436
                   4,            0.087757,            0.031097,            0.023651,           0.0027951,             0.48333,            0.051741,            0.017754,            0.055736,            0.019987,            0.015834,            0.078305,            0.002305,            0.002305
                   5,             0.08281,            0.030375,            0.021244,           0.0027234,             0.56667,             0.06319,            0.027172,             0.05109,            0.019131,            0.014338,            0.073756,           0.0027564,           0.0027564
                   6,            0.078793,            0.030598,              0.0194,             0.43721,             0.44167,             0.36582,             0.16852,             0.05032,            0.017487,            0.012061,            0.069198,            0.003198,            0.003198
                   7,            0.075481,            0.028662,            0.014635,             0.72627,               0.225,             0.46808,             0.15134,            0.047486,            0.016153,            0.010166,             0.06463,           0.0036297,           0.0036297
                   8,            0.065183,            0.026069,            0.015769,             0.64892,             0.30833,             0.46115,             0.21085,            0.043953,            0.014485,           0.0091089,            0.060052,           0.0040515,           0.0040515
                   9,            0.067539,            0.027799,            0.011535,             0.67957,                 0.3,             0.39761,             0.16516,            0.042903,            0.014105,            0.008308,            0.055463,           0.0044634,           0.0044634
                  10,            0.067839,            0.024699,             0.01484,              0.1708,             0.43948,              0.2448,              0.1046,            0.048751,            0.013452,           0.0081222,            0.050865,           0.0048654,           0.0048654
                  11,            0.067355,            0.021526,            0.010593,             0.29245,             0.61667,             0.40483,             0.19286,            0.047559,            0.012552,            0.006664,            0.046257,           0.0052575,           0.0052575
                  12,            0.064641,            0.022429,             0.01256,             0.67184,             0.35352,             0.23264,            0.078424,            0.051156,            0.012307,           0.0057616,             0.04164,           0.0056397,           0.0056397
                  13,            0.065601,            0.021188,            0.011702,             0.57086,              0.6971,             0.70695,             0.30439,            0.048497,            0.010304,           0.0045946,            0.037012,            0.006012,            0.006012
                  14,            0.066609,            0.021754,           0.0086174,             0.57986,             0.75416,             0.63448,             0.27927,            0.045051,           0.0096088,           0.0041287,            0.032374,           0.0063744,           0.0063744
                  15,            0.064329,            0.020755,             0.01093,             0.45487,             0.68656,             0.50648,             0.24604,            0.044486,           0.0095099,           0.0038648,            0.027727,           0.0067268,           0.0067268
                  16,            0.057983,            0.021749,           0.0072155,             0.36293,             0.61386,             0.56016,              0.2467,            0.044807,           0.0088605,           0.0033176,            0.023069,           0.0070694,           0.0070694
                  17,            0.058827,            0.020907,            0.006054,             0.27604,             0.56506,             0.43196,             0.18934,            0.041661,           0.0086953,           0.0029549,            0.018402,           0.0074021,           0.0074021
                  18,            0.061777,             0.02199,           0.0063426,             0.54303,             0.64661,               0.597,              0.2765,            0.045078,           0.0084694,           0.0029439,            0.013725,           0.0077249,           0.0077249
                  19,            0.061742,            0.021712,            0.007423,             0.48437,             0.75801,             0.55904,             0.34475,            0.047517,           0.0080166,           0.0028065,           0.0090378,           0.0080378,           0.0080378
                  20,             0.06512,            0.018148,           0.0051603,             0.39043,             0.65833,             0.47768,             0.27401,            0.042101,           0.0080637,           0.0027715,             0.00802,             0.00802,             0.00802
                  21,            0.066277,            0.019379,           0.0062247,             0.59572,             0.60833,             0.61004,              0.2855,            0.041616,           0.0081867,           0.0027045,             0.00802,             0.00802,             0.00802
                  22,            0.058519,            0.019455,           0.0048622,             0.57942,             0.63333,             0.65317,              0.3592,            0.037387,           0.0080259,           0.0023747,            0.007921,            0.007921,            0.007921
                  23,            0.058243,             0.01955,           0.0053342,             0.63111,             0.74897,             0.68017,             0.25271,            0.041445,           0.0081319,            0.002178,            0.007822,            0.007822,            0.007822
                  24,            0.060851,            0.019232,           0.0050576,             0.46063,             0.74167,             0.60639,               0.281,            0.045143,           0.0081889,           0.0023963,            0.007723,            0.007723,            0.007723
                  25,            0.061649,            0.017993,           0.0044918,             0.49811,             0.55833,             0.54635,             0.24003,            0.039253,           0.0085984,           0.0022996,            0.007624,            0.007624,            0.007624
                  26,            0.056127,            0.018311,           0.0043524,             0.41765,             0.60833,             0.53619,              0.2815,             0.04095,           0.0083636,           0.0021816,            0.007525,            0.007525,            0.007525
                  27,            0.054629,            0.017116,           0.0040206,             0.41772,             0.77186,             0.49506,              0.2449,            0.040972,           0.0085047,           0.0017431,            0.007426,            0.007426,            0.007426
                  28,             0.05443,            0.017822,           0.0037819,             0.36045,             0.81667,             0.50009,             0.26794,            0.035692,           0.0082119,           0.0015233,            0.007327,            0.007327,            0.007327
                  29,            0.049275,            0.016215,           0.0034555,             0.43752,             0.63904,             0.47896,             0.25304,            0.045635,           0.0076493,           0.0015498,            0.007228,            0.007228,            0.007228
                  30,            0.049382,            0.016097,           0.0032796,             0.46984,             0.62997,              0.6854,             0.29148,            0.036199,           0.0078226,           0.0016751,            0.007129,            0.007129,            0.007129
                  31,            0.050027,            0.016503,           0.0031846,              0.7767,             0.62721,             0.72281,             0.43219,            0.034071,           0.0076468,           0.0017531,             0.00703,             0.00703,             0.00703
                  32,            0.053092,            0.016623,           0.0027685,             0.58474,                 0.7,             0.62936,             0.35492,            0.037709,           0.0077228,           0.0018086,            0.006931,            0.006931,            0.006931
                  33,            0.056787,            0.017214,           0.0022591,             0.66858,             0.73333,             0.71487,             0.38083,            0.038912,           0.0076334,           0.0017957,            0.006832,            0.006832,            0.006832
                  34,            0.053724,            0.016391,           0.0026096,             0.58869,             0.79582,             0.72446,              0.4129,            0.032431,            0.008495,           0.0016608,            0.006733,            0.006733,            0.006733
                  35,            0.042579,            0.015607,           0.0028434,             0.52737,               0.725,             0.67304,             0.28978,            0.035312,           0.0086545,           0.0015736,            0.006634,            0.006634,            0.006634
                  36,            0.046715,            0.016048,           0.0025899,             0.65006,             0.67789,             0.73032,             0.37525,            0.031143,           0.0085969,            0.001574,            0.006535,            0.006535,            0.006535
                  37,             0.04979,            0.016553,           0.0024693,             0.46116,             0.83804,             0.68138,               0.195,            0.038521,           0.0085199,           0.0016402,            0.006436,            0.006436,            0.006436
                  38,            0.049754,            0.017348,            0.002641,             0.55608,             0.71885,             0.71035,             0.30616,            0.031934,           0.0078184,           0.0016666,            0.006337,            0.006337,            0.006337
                  39,            0.047825,            0.015361,           0.0027881,             0.42271,             0.72324,             0.56454,             0.26289,            0.032163,           0.0074772,           0.0013688,            0.006238,            0.006238,            0.006238
                  40,            0.050501,             0.01547,           0.0029279,             0.48195,                 0.7,             0.65088,             0.25884,            0.036525,           0.0073664,           0.0012507,            0.006139,            0.006139,            0.006139
                  41,            0.047788,            0.014797,            0.001826,             0.41449,             0.73128,              0.6823,             0.33909,            0.033623,           0.0068653,           0.0012434,             0.00604,             0.00604,             0.00604
                  42,            0.043323,            0.014591,           0.0019956,             0.86998,             0.80833,             0.86524,             0.45837,            0.028623,           0.0068022,            0.001218,            0.005941,            0.005941,            0.005941
                  43,             0.04263,            0.018058,           0.0021927,             0.57569,             0.83333,             0.68856,             0.28355,            0.033075,           0.0068727,           0.0011532,            0.005842,            0.005842,            0.005842
                  44,            0.048116,            0.015853,           0.0021224,             0.82807,             0.85995,             0.87497,             0.44021,            0.030868,           0.0068678,           0.0011853,            0.005743,            0.005743,            0.005743
                  45,            0.044838,            0.013826,           0.0017312,             0.69676,             0.86667,             0.78008,             0.38758,            0.033874,           0.0069319,           0.0011353,            0.005644,            0.005644,            0.005644
                  46,            0.043171,            0.015131,           0.0017526,             0.66261,             0.85653,             0.78772,              0.4268,            0.033767,           0.0065532,           0.0011395,            0.005545,            0.005545,            0.005545
                  47,            0.040317,            0.016433,           0.0015757,             0.59788,             0.78333,             0.72296,             0.35571,              0.0341,           0.0065171,           0.0010405,            0.005446,            0.005446,            0.005446
                  48,            0.046314,            0.015612,           0.0023536,             0.59073,             0.84928,             0.76016,             0.40685,            0.032189,            0.006449,           0.0011969,            0.005347,            0.005347,            0.005347
                  49,             0.04851,            0.016355,           0.0023517,             0.83159,             0.84167,             0.85602,              0.4515,            0.030558,           0.0064986,           0.0012538,            0.005248,            0.005248,            0.005248
                  50,            0.040218,            0.016989,           0.0021976,             0.87267,             0.67437,             0.80284,             0.46066,            0.030138,           0.0065138,           0.0013135,            0.005149,            0.005149,            0.005149
                  51,            0.037386,            0.017235,           0.0017284,             0.76111,             0.77389,             0.75567,             0.46719,            0.029478,           0.0063782,           0.0011166,             0.00505,             0.00505,             0.00505
                  52,            0.037286,            0.014815,           0.0017536,              0.6475,             0.78927,             0.75876,             0.39871,            0.032971,           0.0062156,           0.0010601,            0.004951,            0.004951,            0.004951
                  53,            0.042133,            0.016967,           0.0016029,             0.83293,             0.70833,             0.83533,              0.4628,             0.02954,           0.0061713,           0.0010655,            0.004852,            0.004852,            0.004852
                  54,            0.035572,            0.014181,           0.0019112,             0.62732,             0.86667,             0.80996,             0.40672,            0.030697,           0.0061223,          0.00099196,            0.004753,            0.004753,            0.004753
                  55,             0.03866,            0.013591,           0.0016028,             0.75188,              0.7997,             0.77845,              0.4876,            0.028023,           0.0060242,           0.0010623,            0.004654,            0.004654,            0.004654
                  56,            0.037658,             0.01706,           0.0013776,             0.79136,             0.89167,              0.8294,             0.44392,            0.030877,           0.0063937,          0.00094443,            0.004555,            0.004555,            0.004555
                  57,            0.039841,            0.015399,           0.0014495,             0.80258,             0.81667,             0.77899,             0.45799,            0.027405,           0.0062708,          0.00098881,            0.004456,            0.004456,            0.004456
                  58,            0.037461,            0.014143,           0.0013445,             0.81956,             0.84167,             0.79642,             0.46828,            0.027485,           0.0062096,          0.00096481,            0.004357,            0.004357,            0.004357
                  59,            0.038147,            0.014025,           0.0015373,             0.78726,              0.7989,             0.81598,             0.47438,            0.028734,           0.0062343,           0.0009309,            0.004258,            0.004258,            0.004258
                  60,            0.037349,            0.015508,           0.0012892,             0.87832,             0.81042,             0.82244,              0.4786,            0.027777,           0.0065207,          0.00090789,            0.004159,            0.004159,            0.004159
                  61,            0.036238,            0.014427,           0.0018348,              0.9009,             0.84167,             0.85376,             0.47034,            0.028613,           0.0064454,          0.00094731,             0.00406,             0.00406,             0.00406
